Time,Speed/X,Speed/Y,Speed/Z,Brake pedal force,Gas pedal,Banking,Banking Angle,Gradient,Gradient Angle,Calculated lateral acceleration,Steering wheel speed,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Yaw %ground,Yaw acceleration,Yaw speed,anger score
151.15,37.4535,-0.0546576,0.0286392,0,0.0947867,0.0200084,1.14624,-0.00499408,-0.286137,0.00881306,0,0.041904,0.0425138,-0.00271609,0.0815349,-0.228748,-0.0203037,57.6773,-0.404622,0.0485355,5
151.2,37.4491,-0.0559019,0.0286281,0,0.0947867,0.0200111,1.1464,-0.00499601,-0.286248,0.00508682,0,0.0416157,-0.351624,-0.00447201,0.0801361,0.670921,-0.0284036,57.6793,-0.34207,0.0280176,5
151.249,37.4447,-0.0573726,0.0285453,0,0.0947867,0.0200085,1.14625,-0.0049981,-0.286368,0.00076132,-6,0.0412272,0.055806,-0.00628707,0.0786312,-0.875144,-0.0364561,57.68,-0.113431,0.00419374,5
151.3,37.4403,-0.0587695,0.0283877,0,0.0947867,0.0200137,1.14655,-0.00499992,-0.286472,-0.0034152,-6,0.0407719,-0.0937745,-0.00725466,0.0764187,-0.416748,-0.0377018,57.6796,-0.605976,-0.0188149,5
151.349,37.436,-0.0603137,0.0281534,0,0.0947867,0.0200082,1.14623,-0.00500193,-0.286587,-0.00783157,-6,0.0402902,0.106403,-0.00730662,0.0747127,-0.388915,-0.0401283,57.678,0.307187,-0.0431504,5
151.4,37.4316,-0.0615899,0.0278817,0,0.0947867,0.0200185,1.14682,-0.00500431,-0.286723,-0.0112615,0,0.0398089,0.220905,-0.00608594,0.0722191,0.264343,-0.0358117,57.6753,-0.044441,-0.0620559,5
151.449,37.4272,-0.0633119,0.0276245,0,0.0947867,0.0200052,1.14606,-0.00500904,-0.286994,-0.0157122,0,0.0392742,0.12174,-0.00462833,0.071136,-0.150698,-0.0412651,57.6717,-0.709721,-0.0865912,5
151.5,37.4228,-0.0648758,0.0274214,0,0.0947867,0.0200282,1.14738,-0.00501332,-0.28724,-0.0198539,0,0.0388166,0.00871467,-0.00393993,0.067825,-0.276002,-0.0391819,57.6668,-0.803792,-0.109429,5
151.549,37.4185,-0.0662182,0.0272306,0,0.0947867,0.0199873,1.14504,-0.00501641,-0.287417,-0.0233835,-6,0.0384573,-0.01522,-0.00332978,0.0683174,-0.111662,-0.0334429,57.6608,-0.38217,-0.128898,5
151.6,37.4142,-0.0670329,0.0270179,0,0.0947867,0.0200061,1.14611,-0.00501785,-0.287499,-0.0254181,0,0.0382646,0.00278462,-0.000972706,0.0657476,0.486348,-0.021235,57.6539,0.00808224,-0.14013,5
151.65,37.4098,-0.0676434,0.0268309,0,0.0947867,0.0199854,1.14493,-0.00502164,-0.287716,-0.0263799,-6,0.0380775,0.0323524,0.00212354,0.0660621,-0.0328014,-0.0126875,57.6467,-0.0861726,-0.145449,5
151.7,37.4055,-0.068098,0.0267476,0,0.0947867,0.0200048,1.14604,-0.00502464,-0.287888,-0.0270253,-6,0.0380986,0.0485798,0.00515513,0.0644313,-0.0667825,-0.00737373,57.6393,-0.218036,-0.149025,5
151.75,37.4012,-0.0683672,0.0267836,0,0.0947867,0.019965,1.14376,-0.0050255,-0.287937,-0.0275591,0,0.0383421,-0.185319,0.00611534,0.0664036,0.41128,-0.00157215,57.6317,0.453263,-0.151987,5
151.8,37.3969,-0.0683457,0.0268565,0,0.0947867,0.0200035,1.14596,-0.00502924,-0.288152,-0.0269842,-6,0.0384444,0.00205927,0.00641808,0.0642528,-0.081442,0.00231823,57.6242,-0.0396145,-0.148833,5
151.85,37.3926,-0.0684473,0.026956,0,0.0947867,0.0199434,1.14252,-0.00503186,-0.288302,-0.0271908,-6,0.0386018,-0.248478,0.00584973,0.0676878,-0.159719,-2.16E-05,57.6166,0.230685,-0.14999,5
151.9,37.3883,-0.0685474,0.0270485,0,0.0947867,0.0200022,1.14589,-0.00503406,-0.288428,-0.0275711,0,0.0387683,0.0234636,0.00589232,0.0642359,0.297345,-0.000552174,57.609,0.205173,-0.152105,5
151.95,37.384,-0.0681777,0.0271322,0,0.0947867,0.0199197,1.14116,-0.00503621,-0.288551,-0.0264843,6,0.0389254,-0.100829,0.00540678,0.0691639,-0.888555,0.00595888,57.6016,-0.458846,-0.146126,5
152,37.3797,-0.0678702,0.0272266,0,0.0947867,0.0200009,1.14582,-0.00503829,-0.28867,-0.0255768,6,0.0390625,0.0347802,0.00497842,0.0647382,0.0914596,0.00554857,57.5944,-0.113606,-0.141135,5
152.049,37.3754,-0.067875,0.0272852,0,0.0947867,0.0198654,1.13805,-0.00504097,-0.288824,-0.0255818,0,0.0391379,0.00150607,0.0044167,0.0726066,0.0196108,0.00191983,57.5874,0.0268292,-0.141179,5
152.1,37.3711,-0.0678553,0.027319,0,0.0947867,0.0199997,1.14574,-0.00504391,-0.288992,-0.0255536,0,0.0392004,0.0429108,0.00479871,0.0649582,0.0319547,0.000597044,57.5803,-0.223802,-0.14104,5
152.15,37.3668,-0.0673592,0.0273672,0,0.0947867,0.0198804,1.13892,-0.00504475,-0.28904,-0.0242082,0,0.0393855,-0.00346556,0.00435551,0.0721024,-0.00193439,0.00758031,57.5735,0.184152,-0.133629,5
152.2,37.3625,-0.0668162,0.0274447,0,0.0947867,0.0200193,1.14687,-0.00504569,-0.289094,-0.0226471,0,0.0395249,0.00226064,0.00344673,0.0645695,0.482795,0.00985511,57.567,0.138541,-0.125026,5
152.25,37.3583,-0.0662952,0.0274659,0,0.0947867,0.019998,1.14565,-0.00504805,-0.289229,-0.0211072,0,0.0395372,-0.0160136,0.00245601,0.0663654,-0.217644,0.0116358,57.561,-0.00997186,-0.116539,5
152.3,37.354,-0.0661734,0.0274702,0,0.0947867,0.020042,1.14817,-0.00504921,-0.289296,-0.0208386,-6,0.039583,0.0717032,0.00236964,0.0641667,0.698811,0.00559249,57.5551,0.170364,-0.115069,5
152.35,37.3497,-0.0658374,0.0274426,0,0.0947867,0.0199971,1.14559,-0.00505143,-0.289423,-0.0200099,-6,0.039594,0.00858415,0.00305967,0.0671058,-0.0809403,0.00792718,57.5495,0.192118,-0.110505,5
152.4,37.3455,-0.0653322,0.0274487,0,0.0947867,0.0200655,1.14952,-0.00505156,-0.289431,-0.0187471,0,0.0397394,0.114181,0.00301769,0.0635543,-0.0627605,0.0105022,57.5441,0.780779,-0.103543,5
152.45,37.3412,-0.0645115,0.0274649,0,0.0947867,0.0199962,1.14555,-0.00505176,-0.289442,-0.016523,0,0.0398648,-0.0362861,0.0022383,0.0682019,0.294002,0.0176809,57.5391,0.482134,-0.0912696,5
152.5,37.3369,-0.0636841,0.0274772,0,0.0947867,0.02009,1.15091,-0.0050524,-0.289479,-0.0141118,0,0.0399034,0.0724785,0.000769274,0.0636913,0.121276,0.0194873,57.5349,0.541912,-0.0779593,5
152.55,37.3327,-0.0627806,0.0274486,0,0.0947867,0.0199957,1.14552,-0.00505279,-0.289501,-0.0114637,0,0.0398953,-0.0511118,-0.000274024,0.0701793,-0.0894461,0.0213159,57.5314,0.258163,-0.0633376,5
152.6,37.3284,-0.061932,0.0273899,0,0.0947867,0.0201152,1.15236,-0.00505272,-0.289497,-0.00916201,6,0.039864,0.00811415,-0.00103546,0.0643978,-0.115518,0.02012,57.5286,0.0390457,-0.0506263,5
152.65,37.3242,-0.0609618,0.0273039,0,0.0947867,0.0199955,1.1455,-0.00505221,-0.289468,-0.006532,0,0.039855,-0.0723666,-0.000647244,0.0723455,-0.113028,0.0229856,57.5264,0.146239,-0.0360978,5
152.7,37.3199,-0.0603727,0.0272448,0,0.0947867,0.019995,1.14548,-0.00505217,-0.289465,-0.00510783,-6,0.0398267,-0.0156677,-0.000542813,0.0732626,-0.045906,0.0167111,57.5248,0.324036,-0.0282306,5
152.75,37.3156,-0.059705,0.0271915,0,0.0947867,0.0199962,1.14555,-0.00505175,-0.289441,-0.00351178,0,0.0398565,-0.00834777,0.000637736,0.0739939,0.113617,0.016624,57.5235,0.207854,-0.0194116,5
152.8,37.3114,-0.0590135,0.0271824,0,0.0947867,0.0199948,1.14547,-0.00505093,-0.289395,-0.00183775,0,0.0399393,0.0204262,0.0006095,0.0748683,0.0181167,0.0143907,57.5228,0.324181,-0.0101595,5
152.849,37.3072,-0.0580037,0.0271813,0,0.0947867,0.0200001,1.14577,-0.0050488,-0.289273,0.000776085,6,0.0400974,0.0175821,0.000775894,0.075443,-0.319712,0.0197921,57.5227,0.0716998,0.00429084,5
152.9,37.3028,-0.057111,0.0272137,0,0.0947867,0.0199949,1.14547,-0.0050482,-0.289238,0.00329934,-6,0.0401395,-0.0624478,-0.000418591,0.0767643,-0.0452093,0.0186885,57.5233,0.411248,0.0182436,5
152.95,37.2986,-0.0563364,0.0272022,0,0.0947867,0.0200056,1.14608,-0.00504607,-0.289116,0.00518899,0,0.0402363,0.201408,-0.000391628,0.0770318,0.274187,0.0182506,57.5244,0.728681,0.0286956,5
153,37.2943,-0.0557881,0.0272096,0,0.0947867,0.0199949,1.14547,-0.00504576,-0.289098,0.00649477,18,0.0402353,-0.0446335,-0.000411556,0.0784784,-0.0473217,0.0141902,57.5261,-0.227701,0.0359208,5
